idEuropeanRegion,Name,Type,Country,OtherRegion,idCountry,idTerritory
182,Mayo,County,Ireland,NULL,80,NULL
183,Meath,County,Ireland,NULL,80,NULL
184,Monaghan,County,Ireland,NULL,80,NULL
185,Offaly,County,Ireland,NULL,80,NULL
186,Roscommon,County,Ireland,NULL,80,NULL
187,Sligo,County,Ireland,NULL,80,NULL
188,Tipperary,County,Ireland,NULL,80,NULL
189,Waterford,County,Ireland,NULL,80,NULL
190,Westmeath,County,Ireland,NULL,80,NULL
191,Wexford,County,Ireland,NULL,80,NULL
192,Wicklow,County,Ireland,NULL,80,NULL
193,"Antrim and Newtownabbey",District,"Northern Ireland","["Antrim"]",186,NULL
194,"Ards and North Down",District,"Northern Ireland","["Down"]",186,NULL
195,"Armagh City, Banbridge and Craigavon",District,"Northern Ireland","["Armagh", "Down"]",186,NULL
196,Belfast,District,"Northern Ireland","["Antrim"]",186,NULL
197,"Causeway Coast and Glens",District,"Northern Ireland","["Antrim", "Derry"]",186,NULL
198,"Derry City and Strabane",District,"Northern Ireland","["Derry", "Tyrone"]",186,NULL
199,"Fermanagh and Omagh",District,"Northern Ireland","["Fermanagh", "Tyrone"]",186,NULL
200,"Lisburn and Castlereagh",District,"Northern Ireland","["Antrim", "Down"]",186,NULL
201,"Mid and East Antrim",District,"Northern Ireland","["Antrim"]",186,NULL
202,"Mid Ulster",District,"Northern Ireland","["Derry", "Tyrone"]",186,NULL
203,"Newry, Mourne and Down",District,"Northern Ireland","["Armagh", "Down"]",186,NULL
204,Grouville,Parish,Jersey,NULL,NULL,31
205,"Saint Brélade",Parish,Jersey,NULL,NULL,31
206,"Saint Clement",Parish,Jersey,NULL,NULL,31
207,"Saint Helier",Parish,Jersey,NULL,NULL,31
208,"Saint John",Parish,Jersey,NULL,NULL,31
209,"Saint Lawrence",Parish,Jersey,NULL,NULL,31
210,"Saint Martin, JE",Parish,Jersey,NULL,NULL,31
211,"Saint Mary",Parish,Jersey,NULL,NULL,31
212,"Saint Ouen",Parish,Jersey,NULL,NULL,31
213,"Saint Peter",Parish,Jersey,NULL,NULL,31
214,"Saint Saviour, JE",Parish,Jersey,NULL,NULL,31
215,Trinity,Parish,Jersey,NULL,NULL,31
216,Castel,Parish,Guernsey,"["Guernsey"]",NULL,26
217,Forest,Parish,Guernsey,"["Guernsey"]",NULL,26
218,"Saint Andrew",Parish,Guernsey,"["Guernsey"]",NULL,26
219,Alderney,Parish,Guernsey,"["Alderney"]",NULL,26
220,"Saint Martin, GG",Parish,Guernsey,"["Guernsey"]",NULL,26
